name,created,source,address,rating,number_of_reviews,location_point,about,tags,main_photo_url,order_page,curated,is_free,price
Zosch,2021-10-28 09:51:13,GoogleMaps,"Tucholskystraße 30, 10117 Berlin, Germany",4.3,453,"('SRID=4326;POINT (13.3936047 52.5260125)',)","Beer, pub food & basement concerts. Schnitzels, burgers & beer in a relaxed bar with outdoor tables & a vaulted basement for live music.",Nightlife,https://www.berlin.de/binaries/asset/image_assets/1977832/source/1314282750/624x468/,,FALSE,TRUE,
Filmkunstbar Fitzcarraldo,2021-10-28 09:51:28,GoogleMaps,"Reichenberger Str. 133, 10999 Berlin, Germany",4.4,532,"('SRID=4326;POINT (13.428987699999999 52.496124599999995)',)","Arty, down-to-earth film-themed bar. Moody, relaxed bar hosting movie events, plus a vast DVD library of art house films.",Nightlife,https://lh5.googleusercontent.com/p/AF1QipNmCy1CFrsnOV9LMjl54NRc1muujnPxGu9lFCGl=w732-h552-k-no,,FALSE,TRUE,
Tausend,2021-10-28 09:51:15,GoogleMaps,"Schiffbauerdamm 11, 10117 Berlin, Germany",4.3,564,"('SRID=4326;POINT (13.384449499999999 52.5207367)',)","Live music, DJs & an international menu. Subtly lit bar with an easygoing dress code, live music shows plus Asian & Ibero-American cuisine.",Nightlife,https://lh5.googleusercontent.com/p/AF1QipNnE5SKrjoxDVr-dO5kRFWK_fxWVmbprKNeRtS7=w978-h552-k-no,,FALSE,TRUE,
Franken Bar,2021-10-28 09:51:03,GoogleMaps,"Oranienstraße 19A, 10999 Berlin, Germany",4.5,590,"('SRID=4326;POINT (13.4221417 52.5006281)',)","Chill, graffitied punk & metal bar. Dimly lit punk bar covered in graffiti & stickers, offering pints, mixed drinks & a pinball machine.",Nightlife,https://lh5.googleusercontent.com/p/AF1QipPQM5VW6-HstKKR5ewUFe-QteFzBKbapfZXGHH9=w732-h552-k-no,,FALSE,TRUE,
Eschschloraque,2021-10-28 09:50:45,GoogleMaps,"Rosenthaler Str. 39 - 2, 10178 Berlin, Germany",4.5,591,"('SRID=4326;POINT (13.401685599999999 52.5244941)',)","Low-lit bar for beers & cocktails with a courtyard full of street art, live music & film screenings.",Nightlife,https://lh5.googleusercontent.com/p/AF1QipP4cZnv2-X7h2KPSIaahhk-C-LFej-JjULxeej5=w732-h552-k-no,,FALSE,TRUE,
Victoria Bar,2021-10-28 09:50:50,GoogleMaps,"Potsdamer Str. 102, 10785 Berlin, Germany",4.4,633,"('SRID=4326;POINT (13.3638417 52.5013916)',)","Stylish cocktail lounge with sofas. Smart cocktail bar with hanging lamps, leather sofas, dark wood tables plus mirrors & wall art.",Nightlife,https://i.guim.co.uk/img/media/8738bd4d0ac362bea505e1c159690b2647c62461/0_6_1700_1020/master/1700.jpg?width=465&quality=45&auto=format&fit=max&dpr=2&s=a522be9b403674fbe90ef65b75f27d5b,,FALSE,TRUE,
meisterschueler,2021-10-28 09:51:03,GoogleMaps,"Friedrichstraße 105b, 10117 Berlin, Germany",4.3,779,"('SRID=4326;POINT (13.389240299999999 52.522724399999994)',)",Modern riverside art gallery & cafe/bar. Modern riverside art gallery in light-filled building with trendy cafe/bar & views over the river.,Nightlife,https://www.worldsbestbars.com/wp-content/uploads/2018/04/bar_640_480_13668922_10153720095196658_2080378620059946003_o_57c952382c925.jpg,,FALSE,TRUE,
Hafenbar Berlin,2021-10-28 09:51:12,GoogleMaps,"Karl-Liebknecht-Str. 11, 10178 Berlin, Germany",4.1,895,"('SRID=4326;POINT (13.407552599999999 52.521761299999994)',)",Disco founded over 50 years ago. Nightclub & disco at the TV tower with a maritime decor & a convivial pub atmosphere.,Nightlife,https://lh5.googleusercontent.com/p/AF1QipPL0jq9tblV0yFywD3UizfgpfJ61vNBcCd1Z56n=w828-h552-k-no,,FALSE,TRUE,
Crack Bellmer,2021-10-28 09:51:33,GoogleMaps,"Revaler Str. 99, 10245 Berlin, Germany",4.2,1010,"('SRID=4326;POINT (13.4547859 52.507599199999994)',)",Dance club.,Nightlife,https://lh5.googleusercontent.com/p/AF1QipMKuwKA5LwdHvInIEeQSxyoOB_wcPkfSJ8xgr3U=w732-h552-k-no,,FALSE,TRUE,
Mikkeller Berlin,2021-10-28 09:50:54,GoogleMaps,"Torstraße 102, 10119 Berlin, Germany",4.5,1080,"('SRID=4326;POINT (13.4038731 52.5295219)',)",Craft beer bar.,Nightlife,https://lh5.googleusercontent.com/p/AF1QipPJnXPRMN0OXrJgMARBjX-zoF7srnqeHpmSZ2GA=w978-h552-k-no,,FALSE,TRUE,
Schwarze Traube,2021-10-28 09:50:54,GoogleMaps,"Wrangelstraße 24, 10997 Berlin, Germany",4.6,518,"('SRID=4326;POINT (13.432685 52.5022337)',)","Custom cocktails & a vintage vibe. Intimate, old-world venue with exposed bricks & leather couches, offering daily cocktail menus.",Nightlife,https://lh5.googleusercontent.com/p/AF1QipM27Y_E3VSPmoDLM8-XVA5t35KhnycAotrkvj6D=w480-h720-k-no,,FALSE,TRUE,
Salut! Classic bar,2021-10-28 09:51:23,GoogleMaps,"Goltzstraße 7, 10781 Berlin, Germany",4.6,586,"('SRID=4326;POINT (13.3534905 52.491099299999995)',)","Moody hangout for artisan cocktails. Craft cocktails served in a hip, 1920s-style space with dark walls & leather seating.",Nightlife,https://lh5.googleusercontent.com/p/AF1QipM16Id_q_CYyGqXVqMsC9mXLJ-1Og8aGN7NfH-H=w828-h552-k-no,,FALSE,TRUE,
Jazzclub-Kunstfabrik Schlot,2021-10-28 09:51:28,GoogleMaps,"Invalidenstraße 117, 10115 Berlin, Germany",4.7,599,"('SRID=4326;POINT (13.3852899 52.5302249)',)","Live jazz, theater & cabaret club. Basement venue with a daily program of jazz concerts, improvisational theater & literary brunch.",Nightlife,https://lh5.googleusercontent.com/p/AF1QipNUEF16DngxZ41sL2ObpBJzSKE81eevIUatJg85=w828-h552-k-no,,FALSE,TRUE,
Illuminati Escape - Escape Room Berlin,2021-10-28 09:58:58,GoogleMaps,"Abbestraße 17, 10587 Berlin, Germany",4.9,336,"('SRID=4326;POINT (13.3214197 52.5173998)',)",,Amusements,https://lh5.googleusercontent.com/p/AF1QipOyaVQGXRTHIF5v-Xh5dcJQJLML7bFR4-VTwqT2=w1050-h552-k-no,,FALSE,TRUE,
Modellpark Berlin-Brandenburg,2021-10-28 09:58:43,GoogleMaps,"An d. Wuhlheide 81, 12459 Berlin, Germany",4.1,280,"('SRID=4326;POINT (13.527598099999999 52.467878999999996)',)",,Amusements,https://lh5.googleusercontent.com/p/AF1QipOvggLD-IyQED7G9ccNHMQEZmWOPczTmjYb333w=w1224-h552-k-no,,FALSE,TRUE,
Karls Erlebnis-Dorf - Elstal,2021-10-28 09:58:40,GoogleMaps,"Zur Döberitzer Heide, 1, 14641, Germany",4.5,23401,"('SRID=4326;POINT (12.9963871 52.5330577)',)",Agriculturally themed amusement park.,Amusements,https://lh5.googleusercontent.com/p/AF1QipPBwqljeitXyL_ZqrD1sD7JmOi4CV8Ha1YiviRt=w1134-h552-k-no,,FALSE,TRUE,
JUMP House Reinickendorf,2021-10-28 09:58:53,GoogleMaps,"Miraustraße 38, 13509 Berlin, Germany",4.3,3752,"('SRID=4326;POINT (13.3117673 52.5827288)',)",,Amusements,https://lh5.googleusercontent.com/p/AF1QipNAXCDQhLby1Rx4-mIimO4EANLjjJI8uGZtrd8S=w828-h552-k-no,,FALSE,TRUE,
EXIT - Live Escape Game,2021-10-28 09:58:49,GoogleMaps,"Klosterstraße 62, 10179 Berlin, Germany",4.7,1470,"('SRID=4326;POINT (13.412579899999999 52.516070299999996)',)",,Amusements,https://lh5.googleusercontent.com/p/AF1QipOvZf6nrWd3SgjGHnBnmt3fnEMMdv5Hkg4DQ0rd=w828-h552-k-no,,FALSE,TRUE,
Filmpark Babelsberg,2021-10-28 09:58:38,GoogleMaps,"Großbeerenstraße 200, 14482 Potsdam, Germany",3.8,2695,"('SRID=4326;POINT (13.116759499999999 52.3852772)',)","Movie-based theme park with stunt shows. High-tech cinematic rides & stunt shows, plus film sets & kids' adventures in a movie-based park.",Amusements,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Filmstudio_Babelsberg_Eingang.jpg/800px-Filmstudio_Babelsberg_Eingang.jpg?1635753189100,,FALSE,TRUE,
BergWerk.Berlin,2021-10-28 09:58:55,GoogleMaps,"Stendaler Str. 25, 12627 Berlin, Germany",4.4,762,"('SRID=4326;POINT (13.603936099999999 52.5378349)',)",Family-friendly rope adventure center. Rope ladders & bridges cross a recreated mine shaft at this family-friendly adventure center.,Amusements,https://lh5.googleusercontent.com/p/AF1QipMrfTxHAqSHLG5dd6bbMwMj7zODn7lSP1gss447=w732-h552-k-no,,FALSE,TRUE,
WINDOBONA,2021-10-28 09:58:38,GoogleMaps,"Landsberger Allee 268, 10367 Berlin, Germany",4.9,1239,"('SRID=4326;POINT (13.493893799999999 52.533002599999996)',)",Indoor skydiving facility.,Amusements,https://lh5.googleusercontent.com/p/AF1QipOhbTg8xSyaA8VI83sOPEX3GUSHW0MaPxK3WSfq=w732-h552-k-no,,FALSE,TRUE,
Spreepark,2021-10-28 09:58:41,GoogleMaps,"Kiehnwerderallee 1-3, 12437 Berlin, Germany",4,1383,"('SRID=4326;POINT (13.4912832 52.4841888)',)",Unusual tours of a derelict theme park. Overgrown remains of a defunct family attraction offering guided tours & seasonally themed events.,Amusements,https://lh5.googleusercontent.com/p/AF1QipNzFQ5zAPrQCQzvCeREoN4HH5fms01W4Gt6rzvE=w732-h552-k-no,,FALSE,TRUE,
EXIT VR,2021-10-28 09:59:06,GoogleMaps,"Klosterstraße 62, 10179 Berlin, Germany",4.7,140,"('SRID=4326;POINT (13.412516799999999 52.5160914)',)",,Amusements,https://lh5.googleusercontent.com/p/AF1QipNUfHABRHQ9AzJm_-3j8K73hCgIXyi84lU2mVtQ=w978-h552-k-no,,FALSE,TRUE,
Monsterkabinett,2021-10-28 09:58:35,GoogleMaps,"Rosenthaler Str. 39, 10178 Berlin, Germany",4.3,319,"('SRID=4326;POINT (13.402390299999999 52.524238499999996)',)",Quirky art studios & mechanical monsters. Graffiti-strewn art studios with interactive shows featuring mechanical monsters in the basement.,"Amusements, Hidden Gems",https://lh5.googleusercontent.com/p/AF1QipNen9Y0SQ8VGnF1S__H__Rt2SzbDFQHjqAoXGL1=w822-h552-k-no,,FALSE,TRUE,
Biosphäre Potsdam,2021-10-28 09:58:42,GoogleMaps,"Georg-Hermann-Allee 99, 14469 Potsdam, Germany",4.5,3799,"('SRID=4326;POINT (13.04943 52.41885)',)","Indoor rainforest & zoological garden. Indoor trails through tropical rainforest flowers & trees, with exotic reptile & fish, plus dining.","Amusements, Nature",https://upload.wikimedia.org/wikipedia/commons/d/dc/Biosph%C3%A4re_Potsdam_innen.jpg?1635755773229,,FALSE,TRUE,
"Tier-, Freizeit- und Saurierpark Germendorf",2021-10-28 09:58:38,GoogleMaps,"An den Waldseen 1A, 16515 Oranienburg, Germany",4.6,11607,"('SRID=4326;POINT (13.156448399999999 52.747317499999994)',)","Park with animal enclosures & playground. Leisure park with animal enclosures & full size dinosaur models, plus adventure playground & rides.","Amusements, Nature",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Spinosaurus_Tierpark_Germendorf.jpg/1280px-Spinosaurus_Tierpark_Germendorf.jpg,,FALSE,TRUE,
Kletterwald Grünheide bei Berlin,2021-10-28 09:59:20,GoogleMaps,"Friedrich-Engels-Straße 14, 15537 Grünheide (Mark), Germany",4.7,312,"('SRID=4326;POINT (13.807113699999999 52.424748099999995)',)",,"Amusements, Outdoor Activities",https://lh5.googleusercontent.com/p/AF1QipML7Pw_SMkQ7D96ajHJqkIIsW8f-cLVaO6OpXK3=w1410-h552-k-no,,FALSE,TRUE,
Alexanderplatz,2021-10-28 09:50:08,GoogleMaps,"10178 Berlin, Germany",4.2,163891,"('SRID=4326;POINT (13.413305999999999 52.521981399999994)',)",Pedestrianized square with iconic tower. Historic meeting and market place rebuilt post-war with modern buildings and 365-meter TV tower.,"Historic Sites, Popular, Architecture",https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Alexanderplatz_in_Berlin_-_Panorama.jpg/1280px-Alexanderplatz_in_Berlin_-_Panorama.jpg?1635425972351,,FALSE,TRUE,
Alte Nationalgalerie,2021-10-28 09:55:50,GoogleMaps,"Bodestraße 1-3, 10178 Berlin, Germany",4.6,4931,"('SRID=4326;POINT (13.398352899999999 52.520810399999995)',)","Neoclassical national art collection. Collection of Romantic, Impressionist & early Modernist art in an elegant, colonnaded building.","Museums, Popular, Art, Architecture",https://lh5.googleusercontent.com/p/AF1QipN0rlefxMH_Zf87Ejrrk-3cDzlY8yL5jBlLW3I=w732-h552-k-no,,FALSE,TRUE,
Altes Museum,2021-10-28 09:50:08,GoogleMaps,"Bodestraße 1-3, 10178 Berlin, Germany",4.6,3693,"('SRID=4326;POINT (13.3987445 52.5194665)',)","Displays of Greek & Roman artifacts. Landmark neoclassical building with 18 columns & rotunda, with displays of Roman & Greek artifacts.","Museums, Popular, Art, Architecture",https://lh5.googleusercontent.com/p/AF1QipNPhsqp1O8X57IpAWd9pLe7X2Kqk-dfpihRiykl=w480-h636-k-no,,FALSE,TRUE,
Apostel-Paulus-Kirche,2021-10-28 09:53:03,GoogleMaps,"Akazienstraße 18, 10823 Berlin, Germany",4.5,453,"('SRID=4326;POINT (13.352810199999999 52.488949999999996)',)",Neo-Gothic church.,"Architecture, Religion",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Apostel-Paulus-Kirche%2C_Sch%C3%B6neberg.jpg/640px-Apostel-Paulus-Kirche%2C_Sch%C3%B6neberg.jpg?1635926758498,,FALSE,TRUE,
Arnswalder Platz,2021-10-28 09:54:43,GoogleMaps,"10407 Berlin, Germany",4.3,890,"('SRID=4326;POINT (13.4372163 52.5330647)',)","Relaxed city park with a large fountain. Mellow, tree-lined city park offering a kids' playground & a historic fountain with sculptures.","Nature, Urban Parks, Art, Architecture",https://lh5.googleusercontent.com/p/AF1QipNLzQ2c3H6sQ91OuCSMJR8XBPP2GpkFuzJF4JB5=w732-h552-k-no,,FALSE,TRUE,
Babelsberg Palace & Park,2021-10-28 09:55:12,GoogleMaps,"Park Babelsberg 10, 14482 Potsdam, Germany",4.7,215,"('SRID=4326;POINT (13.093361 52.407644)',)",Kaiser Wilhelm I's summer palace. Neo-Gothic palace built in 1833 sitting in extensively landscaped English-style gardens.,"Nature, Urban Parks, Architecture, Walking & Biking",https://www.spsg.de/fileadmin/_processed_/4/c/csm_F0082329_vkopie-Ausdruck-A4_8c4e58b6da.jpg,,FALSE,TRUE,
Bebelplatz,2021-10-28 09:52:35,GoogleMaps,"Unter den Linden, 10117 Berlin, Germany",4.5,10008,"('SRID=4326;POINT (13.394147 52.516616199999994)',)","Square with a memorial to book burning. Bounded by the opera & university buildings, a  public square with a memorial to Nazi book burning.",Architecture,https://lh5.googleusercontent.com/p/AF1QipNaB8Cp8wDHM54Nh33hmsxMnPCl0ZK1_Yelhg5G=w732-h552-k-no,,FALSE,TRUE,
Bellevue Palace,2021-10-28 09:50:12,GoogleMaps,"Spreeweg 1, 10557 Berlin, Germany",4.5,2470,"('SRID=4326;POINT (13.3527928 52.5175726)',)","Grand, classical presidential residence. Neoclassical, white palatial home of the German president with 3 wings built in 1786. No entry is permitted.","Historic Sites, Architecture",https://lh5.googleusercontent.com/p/AF1QipPA_gwaCEt5cYDEZ1IFuSu8Xu54f8ROg4IiC9Qh=w732-h552-k-no,,FALSE,TRUE,
Berlin Cathedral,2021-10-28 09:52:32,GoogleMaps,"Am Lustgarten, 10178 Berlin, Germany",4.6,29375,"('SRID=4326;POINT (13.401078 52.5190608)',)","Elaborate 19th-century cathedral. Majestic 1800s cathedral with an organ with 7,000 pipes, plus royal tombs & a dome for city views.","Architecture, Popular, Religion, Historic Sites",https://lh5.googleusercontent.com/p/AF1QipNpoQ55cMpIk8_LZMeAStFl4x1ZuK-v1QRpkRWQ=w828-h552-k-no,,FALSE,TRUE,
Berlin Mosque,2021-10-28 09:53:09,GoogleMaps,"Brienner Str. 7/8, 10713 Berlin, Germany",4.2,303,"('SRID=4326;POINT (13.311550599999999 52.487510799999995)',)",Berlin's oldest mosque. Ahmadiyya place of worship.,"Architecture, Religion, Historic Sites, Hidden Gems",https://lh5.googleusercontent.com/p/AF1QipMYlJcsm-EEGUNbo-j-H-wHDp6v4Xjk7dtX_goA=w480-h582-k-no,,FALSE,TRUE,
Berlin Palace Humboldt Forum,2021-10-28 09:52:35,GoogleMaps,"Schloßpl., 10178 Berlin, Germany",4.3,2873,"('SRID=4326;POINT (13.4016456 52.51724)',)","Grand, historic palace with tours. Originally built in the 15th century, this stately royal & imperial palace offers exhibits & tours.","Architecture, Museums, Art",https://lh5.googleusercontent.com/p/AF1QipOIzl_FqqHSfhKVmgf8CixkYsBbNVBkTJEq2vJE=w480-h636-k-no,,FALSE,TRUE,
Berlin State Opera,2021-10-28 09:59:58,GoogleMaps,"Unter den Linden 7, 10117 Berlin, Germany",4.7,2094,"('SRID=4326;POINT (13.3947597 52.516798599999994)',)","Opera house with a classical facade. Classical state opera house, reconstructed after WWII, staging ballet & a repertoire of operas.","Culture, Architecture",https://thumbor-cache.webfactory.de/oMlbDjj_amAKzUA0tYkRX1lCbuY=/1600x0/filters:quality(80)/https%3A%2F%2Fwww.staatsoper-berlin.de%2Fdownloads-b%2Fen%2Fmedia%2F15327%2F07a48ecbd7cba4f04d5f2638baa8d486%2FSTAATSOPER--%25C2%25AEEbener-4011-1%2520klein.jpg,,FALSE,TRUE,
Berliner Fernsehturm,2021-10-28 09:50:08,GoogleMaps,"Panoramastraße 1A, 10178 Berlin, Germany",4.4,32515,"('SRID=4326;POINT (13.4094191 52.520815)',)","1960s architecture & a viewing platform. 368m-tall tower, opened in 1969, with a viewing gallery at 203m and revolving restaurant at 207m.","Historic Sites, Architecture",https://lh5.googleusercontent.com/p/AF1QipMHKTf89WgjU_C2s_XieGkp3wYMVrjGQb4Ax7ql=w480-h636-k-no,,FALSE,TRUE,
Berliner Philharmonie,2021-10-28 09:52:47,GoogleMaps,"Herbert-von-Karajan-Straße 1, 10785 Berlin, Germany",4.7,6167,"('SRID=4326;POINT (13.369693 52.510031899999994)',)","Berlin Philharmonic's modernist home. Berlin Philharmonic orchestra's state-of-the-art 1960s concert hall in a gold, tent-like structure.","Architecture, Music",https://lh5.googleusercontent.com/p/AF1QipNsIf3kWuEd_spXFMKg7Ku6POcpAvrjjQKMPeWZ=w732-h552-k-no,,FALSE,TRUE,
Bode Museum,2021-10-28 09:50:08,GoogleMaps,"Am Kupfergraben, 10117 Berlin, Germany",4.5,4494,"('SRID=4326;POINT (13.3942567 52.5218937)',)","Sculpture & Byzantine art collections. Riverside museum of sculpture & Byzantine art, with regular exhibitions & events, plus a shop.","Historic Sites, Architecture, Art, Museums",https://lh5.googleusercontent.com/p/AF1QipMfP_3nm6tf-2etjoa5mBKMlWjdimchib5Q-_SL=w828-h552-k-no,,FALSE,TRUE,
Pirata Patata,2021-10-28 09:51:22,GoogleMaps,"Kohlfurter Str. 33, 10999 Berlin, Germany",4.6,77,"('SRID=4326;POINT (13.4172721 52.497169899999996)',)",Cozy bar.,Nightlife,https://lh5.googleusercontent.com/p/AF1QipO3N_X0THLQBfSYiUiszFd6USsFZdoydFPEGJ-2=w978-h552-k-no,,FALSE,TRUE,
Brandenburg Gate,2021-10-28 09:50:08,GoogleMaps,"Pariser Platz, 10117 Berlin, Germany",4.7,123358,"('SRID=4326;POINT (13.377704099999999 52.516274599999996)',)",Grand classical archway & city divide. Restored 18th-century gate & landmark with 12 Doric columns topped by a classical goddess statue.,"Historic Sites, Popular, Architecture",https://lh5.googleusercontent.com/p/AF1QipMz1IljfeJEn_KRwfeacupZ524PCsGuu1vcmAce=w732-h552-k-no,,FALSE,TRUE,
Linie 1,2021-10-28 09:51:34,GoogleMaps,"Wilhelmstraße 9, 10963 Berlin, Germany",4.4,90,"('SRID=4326;POINT (13.3888793 52.5013994)',)",Punk rock dive bar.,Nightlife,https://lh5.googleusercontent.com/p/AF1QipN0cBxGhCEFhlmaOG0xIgJk-mCYM6o56MX7Zz_e=w480-h618-k-no,,FALSE,TRUE,
Carillon in Berlin-Tiergarten,2021-10-28 09:56:26,GoogleMaps,"John-Foster-Dulles-Allee, 10557 Berlin, Germany",4.3,370,"('SRID=4326;POINT (13.3669437 52.517775799999995)',)","Bell tower playing weekly concerts. Carillon housed inside a park bell tower, playing weekly classical concerts & other performances.","Art, Architecture",https://upload.wikimedia.org/wikipedia/commons/6/6a/Berlin_Tiergarten_Carillon.JPG?1635853363324,,FALSE,TRUE,
Chapel of Reconciliation,2021-10-28 09:52:46,GoogleMaps,"Bernauer Str. 4, 10115 Berlin, Germany",4.5,189,"('SRID=4326;POINT (13.3919444 52.5358333)',)",Small minimalist church on the site of a historic chapel.,Religion,https://lh5.googleusercontent.com/p/AF1QipMTraSrwAFHYsqaso10E1Fm9DVHSnYleGC6gThA=w828-h552-k-no,,FALSE,TRUE,
Charlottenburg Palace,2021-10-28 09:50:13,GoogleMaps,"Spandauer Damm 10-22, 14059 Berlin, Germany",4.5,19418,"('SRID=4326;POINT (13.2956165 52.5209319)',)","Riverside 17th century castle & gardens. Baroque summer palace with huge gardens & rooms packed with paintings, tapestries & porcelain.","Historic Sites, Architecture, Art, Museums, Popular, Nature, Culture",https://lh5.googleusercontent.com/p/AF1QipP52FjxlB_k_EljJEP63kOaOEbPNjcIbl81UmTy=w732-h552-k-no,,FALSE,TRUE,
CityQuartier DomAquarée,2021-10-28 09:48:59,GoogleMaps,"Karl-Liebknecht-Str. 5, 10178 Berlin, Germany",4.3,1508,"('SRID=4326;POINT (13.4037404 52.5201492)',)","Leisure complex w/a cylindrical aquarium. Tourist & leisure complex with eateries, cafes & shops, plus a giant cylinder-shaped aquarium.","Shopping, Architecture
",https://lh5.googleusercontent.com/p/AF1QipP0D5-gctUV2uLQ36yXfykhfsvcCSbMho8TRe4B=s773-k-no,,FALSE,TRUE,
Detlev-Rohwedder-Haus,2021-10-28 09:52:47,GoogleMaps,"Wilhelmstraße 97, 10117 Berlin, Germany",4.4,57,"('SRID=4326;POINT (13.384303099999999 52.509093199999995)',)","Building typical of ""National Socialist intimidation architecture.""",Architecture,https://lh5.googleusercontent.com/p/AF1QipOaoX5NaePL-prPeWrn2ypvKjBDstSV9OkPW-Hx=w732-h552-k-no,,FALSE,TRUE,
Kim Bar,2021-10-28 09:50:46,GoogleMaps,"Brunnenstraße 10, 10119 Berlin, Germany",4.2,102,"('SRID=4326;POINT (13.4002909 52.5311555)',)",Wacky 80's-inspired spot with well-crafted cocktails and very competitive prices,Nightlife,"https://static.wixstatic.com/media/4f7da6_7b0854f6ba2a48319ccb61d47462f3e0~mv2.jpg/v1/fill/w_828,h_821,al_c,q_85,usm_0.66_1.00_0.01/4f7da6_7b0854f6ba2a48319ccb61d47462f3e0~mv2.webp",,FALSE,TRUE,
